context,generated_question,generated_answer
These Pumpkin Seeds are definately larger than others at the grocery store.  Glad I found them.  Give em a try!,How big are these Pumpkin Seeds?,definately larger
"This blend is really roasty. Since I am not a coffee drinker, I was less than thrilled with my purchase. However, all of that disappoinment went today as I added just 1 tablespoon of this hazelnut matcha into a basic scone recipe. I could not be happier with the addition of the hazelnut and I know that the matcha makes this a healthier alternative to the cookies I was eating with my black teas.",What was the flavor of the hazelnut matcha in my scone recipe?,1 tablespoon
"I purchased this product as an alternative to a rawhide. Our 5 month old German Shorthair Pointer puppy ate it in a matter of 6 minutes or less. She loved it, but it was more of an expensive treat.<br /><br />With a puppy, I needed something to satisfy her chewing urge. The treat fractured into small bits all over the floor but our dog was willing to pick those up. The pieces looked rather sharp and that was a concern. Others mentioned it was made in China and I would like to add the first ingredient is corn.  It might last longer for very small dogs.",What was the name of the product that I purchased as an alternative to rawhide?,Shorthair Pointer puppy
"Read your labels, people!!! SMART bones are made in China!!!!!! A neighbor told me how great these were. After buying them, I read the fine print in the back. ""Made in China!!""",What was the name of the bones made in China?,SMART bones
"I received the packets of Frozen Hot Chocolate for Christmas and just tonight whipped up my first batch. Very quick and easy to do, just need a blender, ice and milk. It is amazing! A rich wonderful chocolate flavor! I told my husband I am going to need a constant supply of this stuff, I am addicted already! Definately a treat worth buying!",What was Frozen Hot Chocolate for Christmas?,whipped up my first batch
Really delicious and sooooo chocolately! Just like the real thing. I adjust the ratios of milk and mix to my liking and ignore the instructions on the back. You can also get alot more than 1 drink per package if you drink a normal sized glass (I get 3 shakes per pack at about 16 oz. per shake). Really good! A must try at least once in your life!,What is a must try at least once in your life?,Really good
"Just wanted to add my two cents in defense of the company. I too received a gift box that the glass was broken in, but one call to the company and about a 45 second phone conversation fixed my problem. They sent out a replacement  with no hassle whatsoever.",What did the company send out a replacement without any hassle?,a gift box
I saw this first on Oprah and it is every bit as good as she said it was!!! I am hooked on Frrrozen Hot Chocolate!,What was the name of the first chocolate I saw on Oprah?,Frrrozen Hot Chocolate
"Although the description said 3 large packets, I only received one.  It was wrinkled and worn; I would not feel good about giving it as a gift. I contacted the supplier directly to try and resolve the issue, and never received a response.  Needless to say, I was very disappointed with this purchase, and would never buy from this supplier again.",What was the description of 3 packets?,It was wrinkled and worn
"For some reason my husband ordered a TON of this stuff for me for Christmas.  We live in Chicago & it's cold so I didn't try it right away.  I was craving something sweet so I finally made some tonight.  It tastes like icy chocolate, & it's a bit chalky.  To be honest it reminds me of the old powdered slimfast.  I've got a whole canister and 5 packets of this stuff & I don't know what I'm going to do with it.",What kind of stuff did my husband order for me for Christmas?,a TON
"I visited NY for the first time last summer, and after trying the Frozen Hot Chocolate at Serendipity, my boyfriend and I decided we could not live without it. We bought three packs of the mix to bring back home to LA. After running out, we immediately purchased the 3 pack from Serendipity via Amazon. It shipped quickly and painlessly. They are just as delicious as we remembered them! I would recommend this mix to anyone with a sweet tooth or someone who is just plain missing the city.",What was the name of the mix we bought from Serendipity?,3 pack
every trip to NYC includes a stop at serendipity--- love the frozen hot chocolate and this is the same thing from home!!!  love surprising my son  by making it once in  awhile... brings back memories and just taastes soooo good!  Bought several to keep on hand.,What is the name of the trip to NYC that includes serendipity?,love the frozen hot chocolate
"First of all, this is a great price as I have purchased it elsewhere and paid alot more...Secondly, if you are sitting on the fence on whether to try it... JUST DO IT! You will NOT regret it... just need a blender, milk and ice cubes... a fancy glass... and whipped cream to top it off.  It is delicious!  We had this in the dead of winter and couldn't wait for the next one!  Can't wait to try it in the heat of the summer!  ENJOY!","What is a great price for a blender, milk and ice cubes?",a fancy glass
I have not had the Frozen Hot Chocolate from Serendipity but I thought the package was very good and easy to make. I would make it for my friends again.,What was the Frozen Hot Chocolate from Serendipity?,the package
"I bought the packs after a trip to NYC -- and due to the long wait -- could not get into the restaurant.  It was pretty bad.  The chocolate had a weird after-taste.  I would have been better off making a chocolate milk shake.  In order to use up all of the packs, I am going to try to add coffee to the milk to try to mask that funny taste.",Why did I buy the packs after a trip to NYC?,the long wait
Love this product! I got this as a gift for a fellow chocolate lover. If you love chocolate than this is a product for you! The only problem I had was that it took a little longer than I thought to recieve it.,What was the problem with this product?,it took a little longer than I thought to recieve it
The whole family loves this delicious treat!  I first saw it reviewed on Oprah and I have been ordering it about twice a year for 4 years now!,What is the name of the treat I ordered on Oprah?,delicious treat
"I would like to remind everyone that the restaurant Serendipity 3 in NYC was closed down by the NYC  Health DEPT some years ago beacause they were infested with roaches and mice, they found live roaches in the chocolate, they had to exterminate the entire place and reopened. But since they functioned in such disgusting conditions, how can you trust they are clean?<br /><br />Do a Google search: Serendipity 3 NYC roaches mice closed<br /><br />Lots of info comes up, dont buy this.",Why was the restaurant Serendipity 3 closed?,beacause they were infested with roaches and mice
"Serendipity 3 Frrrozen Hot Chcolate Mix Gift Package and several packs of the hot chocolate mix.<br />  In October, 2007 I purchased the gift set along with several packs of the hot chocolate mix to be used as stocking stuffers at Christmas.  Sometime in late November or early December I read a very short article in our local paper that read:<br />""Health inspectors close restaurant""<br />  ""While serendipity may be the art of finding pleasant things by chance, what health inspectors found at celebrated eatery Serendipity 3 was not very agreeable.""<br />  ""Officials closed the restaurant Wednesday night after it failed its second inspection in a month.  An inspector spotted a live mouse and mouse droppings, fruit flies, house flies and more than 100 live cockroaches.""<br />  ""Both inspections revealed rodent and fly infestation and conditions conducive to pest infestation, including stagnant water in the basement, the department said.""<br />  Needless to say, approximately $60 of hot chocolate mix was thrown away.  I would never purchase any products from Serendipity 3 again, even if it was a ""must have"" by Oprah. If there were a half star or less, it would be rated for this product.",What was Serendipity 3's hot chocolate mix gift package?,several packs
"The holiday season is upon us... recieved my Peppermint Mocha and plan to serve it all season long, this coffee is the best I've ever tasted and will be remembered by my family and friends as they visit this Christmas. The seller was prompt and the product was delivered right on time at a reasonable price. I recommend it and them without a second thought.",What was the best coffee I've ever tasted?,Peppermint Mocha
I bought a Tassimo coffee machine for my daughter and her college roommates. They absolutely love the machine and the Peppermint Mocha disappeared quickly last winter. It appears that this flavor is seasonal. My daughter wanted more as soon as I found it available. The delivery was quick. My daughter said this Tassimo selection is even better than Starbucks and is far less expensive. Well worth it.,What did my daughter and her college roommates buy a Tassimo coffee machine?,Peppermint Mocha
This is exactly what I wanted.  I received it within two weeks of ordering.  Thank you for your quick service.,What did I want to receive within two weeks of ordering?,Thank you for your quick service
"I had been given masala chai from a different vendor as a gift.  I loved it.  I ordered this one because it was less expensive.  I like it, but it seems to have a predominant cloves flavor.  Also, the tea is so fine, it is hard to strain.  Still pretty good.  I am new to chai tea.",What kind of tea did I get from a vendor as a gift?,masala chai
"****<br />This Cranberry Weightless tea is lovely, and has a marvelous taste. It seems to work as a diuretic, which isn't a bad thing, since it does so by promoting urological health. It probably does contribute to ""Weightless"" (weighing less) but only by ridding your body of excess water; still, if it can do this in a healthy way, I'm all for it. I like drinking it as a calming ritual before meals, which for me has some value, too. It seems to work for me; even more importantly, I enjoy it.<br /><br />The ingredients in Traditional Medicinal's Weightless Cranberry are: bitter fennel fruit 150 mg, red clover blossom 150 mg, uva ursi leaf 135 mg, cranberry fruit concentrate 60 mg, cleavers herb 52.5 mg., as well as a proprietary blend of: organic hibiscus flower, organic roasted chicory root, organic parsley leaf, and organic stevia leaf.<br /><br />Weightless Cranberry is part of a line by Traditional Medicinals that includes the original Weightless and a Weightless Cinnamon-Spice.<br /><br />Traditional Medicinals seems to be a responsible company. They adhere to sustainable and fair trade practices, use organic ingredients when feasible, and base their tea formulations on sound research and knowledge.<br /><br />The brewing instructions for this tea are very important: ""For maximum benefit, medicinal tea must be properly prepared. Pour 8 oz. freshly boiled water over a tea bag in a cup. Cover cup and steep 10-15 minutes. These steps directly influence the amount of beneficial components that will end up in your teacup! Gently squeeze the tea bag to release any remaining extract.<br />Drink 3 cups daily, one cup before each meal, for up to 2 weeks, then pause a few days before resuming."" So, Weightless is a long-brewing pre-prandial tea...if you want it to work properly.<br /><br />Also note the following cautions: ""Cautions: Tea containing bitter fennel fruit and uva ursi leaf are not for long-term daily use without medical advice. Contraindications: Not for use during pregnancy, while nursing, or by children under 12 years. Side Effects: Teas containing uva ursi leaf may cause nausea or vomiting in individuals and children with sensitive stomachs.""<br />****",What does Traditional Medicinal's Weightless Cranberry contain?,Weightless Cinnamon-Spice
"POOR PACKAGING:  The product arrived in one giant plastic pouch, of poor quality plastic, which ripped in transit and some of the dal escaped.  The packaging needs improvement.  The dal looks OK, tho I haven't cooked it up yet.<br /><br />QUANTITY INCORRECT/UNIT PRICING:  The product which arrived was ONE 64-ounce pouch, NOT a pack of four 64-ounce pouches, which is what the website said:  ""Spicy World Chana Dal, 64-Ounce Pouches (Pack of 4).""  This makes it $5.72/pound, not $1.42/pound.  Amazon should correct this and should post the price per pound or per ounce for grocery items, like the stores do - ""unit pricing.""  This would help us compare prices on these items.<br /><br />AMAZON SELLER FEEDBACK:  Because amazon.com is the ""seller"" I can't leave ""seller feedback"" from my order on the amazon website!  Amazon should allow for ""seller feedback"" re amazon as the seller.<br /><br />UPDATE:  I finally found how to email Amazon Customer Service through the ""Help"" link, upper right of the webpage.  I was fairly impressed with their prompt response to my concerns.  I hope they will fix the incorrect pricing info & start doing ""unit pricing"" on grocery items.",What was the name of the pouch that arrived in the store?,ONE 64-ounce pouch
"Lavazza offer several variations on their espresso beans. Of those that I have tried - I don't recall Pienaroma as being great; Top Class is good; Super Crema is tasty (and produces good crema) but not high on aroma; Crema E Aroma retains its aroma very well but is the most acidic of the Lavazzas; Tierra appears to be the hardest to find in the US but - in my opinion - combines the good aspects of all. So far, I've found it only on Amazon. Amazon also has the best prices on Crema E Aroma.",What is the most acidic of the Lavazzas?,Crema E Aroma
"I like this coffee, it has a little more bite than the super creama but all in all a good drink. It may be a little more suited to milk base drinks. When it is all said and done Lavazza comes throuth again with their 100% Arabica blend. Super Creama is still my favorite of the Lavazza brand, but this may be my second choice.",What is Lavazza's 100% Arabica blend?,Super Creama
I have had this on subscribe and save for about 10 months and generally like it. It is a lighter roast (northern italian) with a pretty strong acid bite. This brews a good shot with a good machine and grinder with no problems and has a mellow rounded flavor.  I am switching over to a little darker roast right now that I tried from amazon a couple of months ago (cafe Altura Peruvian Dark Roast)but if you like a lighter roast this is a good bet.,What is the name of the darker roast that I tried from amazon?,cafe Altura Peruvian Dark Roast
"We have been buying this particular Lavazza coffee for a number of years now and it is still our favorite Whole Bean coffee. We tried other Lavazza Whole Bean flavors but ended up staying with this one also because it is Rainforest Alliance certified, but mostly because we enjoy the flavor.<br /><br />We use it with a <a href=""http://www.amazon.com/gp/product/B00081NTX6"">Bosch TCA6301UC Benvenuto B30 Thermoblock 15-Bar-Pump Digital Fully Automatic Espresso Machine</a> and are very pleased with the flavor and strength. This espresso bean is not too strong or acidic, I would describe it as harmonious, balanced and smooth, perfect for our morning cups and also very suitable to serve after dinner.<br /><br />If you enjoy a milder espresso (but not weak!) flavor, this might just be the one for you, too.",What is the name of the Lavazza coffee that we use for our coffee?,Whole Bean
"Tastes good with just the right amount of acidity, enough creama and aroma. Having said that I find it similar to and just marginally better than Jose's Colombia Supremo Arabica beans I buy from Costco at a fraction of the cost.",What kind of beans do I buy from Costco at a fraction of the cost?,Colombia Supremo Arabica
I have been making my morning espresso with Lavazza Tierra beans for years.  The full body taste and smooth flavor gets the morning off to a great start.  I wholeheartedly recommend this product for anyone who enjoys a high quality espresso.,What is Lavazza Tierra beans?,morning espresso
"This coffee has a deep flavor with no bitterness.  It stays fresh in the packaging, and with the subscription plan savings it's a great deal!",What does this coffee have a deep flavor with no bitterness?,It stays fresh in the packaging
"I had the Lavazza Super Crema and loved it but I wanted to give this a try for my espresso.  I really like the Super Cremas flavor, it was nutty, fruity, and a bit of chocolate.  This just tastes like any coffee you get at any gas station to me, at least when making espresso.  Its not bad, but to me its just ordinary. I guess purists may like it, I dunno, when it comes to coffee I may not be as sophisticated as some.  Kinda like wine, I like it sweet and red, not so dry.  I don't want my coffee to taste like coffee, I want it to be a treat.",What flavor did the Lavazza Super Crema taste like?,"nutty, fruity, and a bit of chocolate"
"Actually quite pleasently surprised by the good flavour of this coffee, but still second to ORO in the Lavazza line.  I make it every morning, simply, with 3 Bialetti 2 cup stainless stove top caffettiere that I purchased in Italy some 15+ years ago.",What was the name of the coffee that I made in Italy?,Bialetti 2 cup stainless stove top caffettiere
"Lavazza Super Crema in this configuration made terrible esspresso, terrible french press, terrible moka pot and the worst (outside of Folgers) drip coffee I've ever paid for.  At $30 per bag on average I thought I'd get a deal with the great reputation and taste of Lavazza that I'd experienced in restaurants and coffee shops.  Something must have happened to this shipment to ruin the flavor of this coffee.  I could not get a crema on any of the preparations I used, despite using a burr grinder, spice-grinder etc. I feel as though I tried everything but a $2000 espresso machine and grinder to get a good cup...to no avail.  DO NOT BUY this product.  Stick to store-bought Lavazza or the great reliability (albiet more expensive) Starbucks etc.  If I could get my money back, I would.  I bought three bags with a grand total of $91 invested thinking it would be a great hedge against rising coffee prices.  I reapeat, DO NOT BUY this product.",What kind of coffee did Lavazza Super Crema make?,terrible esspresso
"This, Lavassa Tierra, tastes like very bad diner coffee.  It is bitter and muddy tasting; totally terrible.  I am ordering something else, pitching the rest of this crap and drinking tea until the replacement arrives.",What is Lavassa Tierra?,tastes like very bad diner coffee
"The previous reviewers have said it all. These really are the best and healthiest dried cranberries I've found - organic and apple-sweetened. My biggest problem is keeping them on my shelf. I'm using them in place of raisins in almost everything I make - oatmeal, cookies, rice pudding, breads, trail mix. The list goes on. And the Amazon price is the best I've found too.",What are the best dried cranberries I've found?,organic and apple-sweetened
"I love these cranberries.  They are organic and they are apple juice sweetened, my favorite kind of cranberries.  They are full of flavor.  I like them to be a little tart and not like they're candied as some cranberries are, with so much sugar.",What kind of cranberries are my favorite?,apple juice
"The reason I bought these besides being organic, was due to them being sweetened w/ apple juice. They are moist,fairly plump not dehydrated looking and not too sweet. I also like that it comes in a 5 pack vs. a 12 pack. Although I was happy w/ the Pavich brand (http://www.amazon.com/gp/product/B000FMZXL4/ref=ox_ya_os_product), they came in a pack of 12 and used organic evaporated cane juice as the sweetener. I don't see how anyone would be disappointed in this product. I've also bought organic canned beans,popcorn and other foodstuffs from Eden Organic and have consistently been pleased w/ their quality. These will be great for fall and holiday baking.",What was the reason I bought these from Eden Organic?,sweetened w/ apple juice
"These are a tad sweet for my taste, and also a bit too squishy. I like that they are organic, but wish they were more tart and a bit drier.",What is a tad sweet for my taste and a bit too squishy?,they are organic
I usually buy loose leaf Taylors Darjeeling tea.  However I can no longer find Taylors loose leaf Darjeeling tea and was told hat Taylors no longer sells it.  I have searched all over and this seems to be the case so when i saw taylors darjeeling in the tea bag form i bought it since i will not be able to buy it in the future.  This is the same tea as loose only in bag form.  i hope this remains available in the future. I have not found a darjeeling tea in loose leaf that compares to the darjeeling tea that taylors sold in the past.,What kind of tea does Taylors Darjeeling have?,loose leaf
"This was not what I expected. It is very sweet with bits of candied orange rind and garlic but I really did not notice any chili. With chili in the title, I expected some heat but there was none.  Definitely needs heat.",What did I expect from chili?,some heat
"Check out the following site for great deals on all things Japanese Food Basesd. ""Asian Food Grocer"".xom I used an ""X"" on purpose to prevent the filter.<br /><br />This particular item is listed for 1.72 & shipping is usualy $5 on orders over 25, or free on black friday, standard shipping is ~7-8 I think.<br /><br />Anyways I would order by phone their web forum sometimes doesn't take the order.<br /><br />Long story short. Better prices, same service, worse interface.",What is a good deal on Japanese Food Basesd?,Asian Food Grocer
"I was soooo disappointed by this product. They would not take! I guess I should have suspected from the low price. I had gotten fresh pablanos shortly before and they were WONDERFUL, but these are not. I know these are terribly hard to find ,thats why I took a chance, but do not waste your time on this product. (scoring & soaking will not help)",What did I feel was soooo disappointed by the pablanos?,They would not take
"These treats, and the salmon flavor as well, make my cats do little dances of joy when they hear me take them out of the cabinet.  They turn their noses up at nearly everything else I try, but these keep them coming back for more!",What do cats do when they hear me take them out of the cabinet?,dances of joy
Friskies Natural Sensations Tuna Treats are a favorite of my cats.  It was really nice to find them on Amazon and available as a Subscribe and save item.  Now I can get this somewhat expensive treat at a better price than I could get at a pet store or at the grocery store.,What kind of treat is a favorite of my cats?,Friskies Natural Sensations Tuna Treats
"This item, though a cute idea, really doesn't live up to its title. The pink is fun, especially if you use a glass mug to see the whole drink. The ""hot chocolate"" part of the title is very disappointing. Of course, I wasn't fully expecting a milk chocolate taste, but I honestly can't even say it tastes remotely like white chocolate...or really any kind of chocolate for that matter.<br /><br />If you're looking for a novelty drink, this is cute, especially for young girls. However, if you're expecting something akin to hot cocoa as it is generally understood to be, I would look elsewhere.",What is the name of the item that doesn't live up to?,The pink
"My 9 year old absolutely loves it!  Of course she is a fancy Nancy fan and whenever I sit down to have my Latte, she feels all grown up to have her fancy hot chocolate with her Mommy.  Love the taste and aromatic coconut scent.  I think its great she loves it and its different, she loves it and that is the most important thing she feels she now has her own special drink like Mommy when we cozy up to hot drink.  I have to find some more as she is upset she has ran out and we were lucky to find this one at Home Goods, now have to see where I can order some.",What is the most important thing she feels she now has her own special drink like Mommy?,when we cozy up to hot drink
"Purchasing the Glace De Volaille Gourmet Gold Roasted Turkey Stock from Amazom. I used the reccomended old world gravy recipe of sauteing onions, carrots in duck fat with a cup of wine. It did not inspire me.  The traditional basted American Turkey with pan drippings for gravy cannot be substituted.  The aroma of a fresh turkey in the oven stirs the senses, exciting the cook to prepare for a perfect gravy.  This cannot be duplicated in a gravy package that is designed for a gourmet market that prefers its gravy, deaden in wine, brown onions and thyme. Maybe the old world tastes are more astute, but my American gravy will remain simply traditional.  The Glace De Volaille Gold Roasted Old World Gravy recipe, well it went into the trash.",What was the Glace De Volaille Gourmet Gold Roasted Turkey Stock from Amazom?,Old World Gravy
"If you haven't been introduced to Saint Andre soft cheese you are not living.  It's like Brie mixed with butter.  The flavor is milder then Brie and the texture is very much like fresh butter.  It's firmer inside then Brie, especially a ripe Brie.  I can't imagine it is very heart healthy but makes the absolute best baguette for breakfast instead of butter.  I am a cheese person and I eat cheese from a number of EU countries and this ranks as one of if not the best.  Enjoy and keep the red wine flowing.  Buon appetit!",What is Saint Andre's cheese?,Brie mixed with butter
This is delicious coffee which compares favorably with much higher priced coffee.  It's a well-kept secret!  Low acidity and smooth taste are hallmarks of this brew.<br /><br />I especially liked the fact that each bag is resealable to keep the coffee at maximum freshness.  I will definitely buy again and again.,What is the name of the brew that is a good coffee that compares favorably with higher priced coffee?,delicious coffee
I ordered this in mid October 2009.  The bags were dated February 2009.<br /><br />A friend of mine had visited this region of Guatemala and had brought me back some of the coffee beans from his trip.  I was astounded by how the coffee lacked the bitterness you can find in most other coffees.  There also seems to be some hints of cherries or some other nutty/fruity flavor.  I have used multiple grind settings when using this (drip coffee maker) and found that it tolerates a very fine grind well.  The looser grinds and small amounts of the coffee can leave this weak though.<br /><br />Highly recommend this coffee.,What was the name of the coffee I ordered in mid October 2009?,coffee beans
"The listed ingredients at Amazon are correct but incomplete. Item also contains beef base (FIRST ingredient) & MSG (THIRD ingredient), neither of which we will eat in our household. Those ingredients were omitted on the product page by accident, they say. Really?!?!?!?!<br /><br />Moreover, the package we received contained crusted seasoning on the container, and the package was dusty & yucky. I literally had to wash the canister & use a bit of elbow grease before even reading the ingredient list! This is a food item, for gosh-sakes. Should have repackaged and refused delivery right then & there.<br /><br />A bad experience with Amazon with this one, that's for certain. Would have never purchased in-store, much less handled or brought into my home. I can't believe Amazon is shipping food products in this condition. I'll definitely reconsider my purchase of grocery items here.",What is the name of the ingredient listed at Amazon?,beef base
"You may think it is as hot as wasabi paste, but Kameda does a good job of really creating a spicy snack without making it too hot or too bland.<br /><br />The distributor to the Asian stores in our area does not stock this item. Usually when the spouse goes to Japan is the only time we can get this variety. I actually prefer it over the traditional Kaki no tane. FYI: 'kaki"" is the Japanese word for persimmon seed.",What is the Japanese word for persimmon seed?,FYI: 'kaki
"Like others, we've ordered these excellent cookies before and been disappointed by Amazon's packaging. But the good price kept us coming back, and now it appears that Amazon has listened to everyone's complaints. Our recent order arrived with the 6 rolls of cookies arranged in the shipping box in a clever way that prevented damage, so there's no broken end pieces. Kudos, Amazon!",How did the cookies arrive in the shipping box?,in a clever way that prevented damage
"I love these biscuits with tea in the morning and haven't been able to find them anywhere locally. I was delighted to find them available at Amazon and after reading a few reviews that sounded as if the packing problems had been taken care of, I ordered a box of 6 packages. The biscuits are great, the packing...not so much. All six packs were stuffed into a small plastic bag which was crammed into a bubble bag which was wrapped in bubble wrap and placed into a box with air pacs stuffed around it. Four packs are mostly crumbs, the other two had a lot of breakage on the ends. I think they might have been ok if they hadn't forced them into the too-small bag and bubble bag in their zeal to over-protect. Maybe carefully wrapping each pac individually in bubblewrap and placing them in the center of a box of air pacs would get them delivered in one piece, but I doubt that will happen so will not bother to order them from Amazon again...",How did I order the biscuits from Amazon?,a box of 6 packages
"""Rich Tea"" are the quintessential English tea-time biscuit, to be served mid-afternoon with a fine cup of <a href=""http://www.amazon.com/gp/product/B000F3WS7K"">English Tea</a> (taken with milk, not lemon). And McVitie make the finest ""Rich Tea"", having exactly the correct texture and firmness and delicate flavour which these biscuits should have. ""Rich Tea"" are also the ultimate dunking biscuits, for which purposes they must, of course, be entirely whole and not cracked even in the slightest, otherwise they will instantly fall in half and disappear to the bottom of the cup. Even whole, these biscuits present the maximum challenge to the dunker -- leave the biscuit in the tea just a fraction of a second too long and, again, you'll wonder where your biscuit went (and why you have blotting paper at the bottom of your cup).  [American readers please note that dunking is, of course, entirely frowned upon in English high society, as an activity undertaken only by the peasant classes. It is thus to be indulged in only when entirely alone and in the privacy of one's own home, when there is no danger of being observed by the servants.]<br /><br />Should your biscuits arrive broken, as may, unfortunately, be all too likely (as these are a fragile biscuit and McVitie's packaging consists of no more than a paper wrapper) do not despair; all is not lost. Simply tip a quantity of the broken biscuits into a bowl and pour hot milk over them. The result may look like soggy blotting paper, but the eating experience is exquisite!",What type of biscuit does McVitie make?,Rich Tea
"I forgot to write a review after our last shipment of this product, but having gotten another shipment which is EVEN BETTER when it comes to protective packaging, I realized it was important to provide this info for others.<br /><br />If there were problems in the past, clearly the shipper has learned how to do it better.  The biscuits were packed in a just-right-to-be-tight box, and then in a larger box with plenty of the recyclable blow-up air pillows for cushioning.  No problems with breakage, at all.",What did I forget to write a review after our last shipment of this product?,EVEN BETTER
0 STARS for the packaging.  It was borderline acceptable.  Not completely taped shut and was possible to reach inside package without disturbing existing tape.  In this day and age that is poor form.  In addition poorly padded inside.  Biscuits broken but packages intact.  Enjoy them so much I ate them anyway.  Glad that they are available widely in the US now.  Will continue to buy biscuits but find different shipper.,What was 0 STARS for the packaging?,It was borderline acceptable
"I have ordered the 7-pack of these Digestive Biscuits several times. They are delicious with a cup of tea, and are a slightly healthier version of a ""cookie"" but with more fiber and perhaps not as sweet as the traditional cookie. I agree with previous reviewers that Amazon packaging has been insufficient in the past, resulting in crumbled and crushed biscuits. However, my most recent shipment (ordered January 8, 2012)arrived in nearly perfect condition, in improved packaging, with all biscuits intact. Since this brand is difficult to find in a regular grocery store, I highly recommend purchasing from Amazon with Prime shipping!",What was my most recent shipment of Digestive Biscuits?,"January 8, 2012"
"Love the wheaty taste of McVitie's! They are not too sweet, so it may be surprising to people who are used to the intensive sweetness of cookies from the US. You can feel the fibers in these cookies, and they are just perfect to have with a cup of PG Tips tea!",What kind of cookie is McVitie's?,wheaty taste
"My local grocery store no longer sells McVitie's so I was overjoyed to find I could order in bulk here! As you can see from the photo I added, they come wrapped in multiple layers of air and boxes. No breakage - I got 7 packs of perfect biscuits just in time for wintertime heavy tea drinking!",What was the name of the McVitie's?,My local grocery store no longer sells McVitie's
"I've very glad that Amazon and other companies are making more English foods available in the U.S. McVities make a high quality product and slightly a bit different than many of the similar products sold here. The years the I spent in England McVities was my favorite brand of biscuits (cookies).<br />Through some Amazon.com deals you can get a good price, but shop carefully, not all prices on Amazon.com are the best. But if it says McVities, it should be good.  While you're at it get some PG Tips Tea bags, now you've got a great way to relax.",What is a great way to relax?,PG Tips Tea bags
"I love this, i sometimes go to indian store but i dont find it at times, i wish safeway etc all keep it. These are the best biscuits but unfortunately very very bad packing. these are pretty brittle and it breaks easily, this time i got with about 5 of the packs almost fully crushed, 3 were total powdered. I would never take it again from amazon, i get it way cheaper in indian groceries, just that stock there keeps getting over and i have to find the right time to get it . but it is better than eating powder.  So somehow review is complicated, since the product is good and amazon has nothing to do with it, the only thing amazon has to do is handling and shipping, which is very badly done. So unfortunately my bad rating will affect the product, but please remember this is a good product, i am giving bad rating for amazon handling and shipping ONLY.",What is the only thing that amazon has to do with it?,handling and shipping
"I'm a big fan of all the Newman cookies, although I can't claim to be Cookie Monster.  These Fig Newmans are delicious, but not quite as good as their competitor we all see in the grocery store.  One important fact that many would like to know it that they are not a gluten free product.  If you need anything wheat- and dairy-free, these are probably some of the best cookies you'll find.<br /><br />Many people do have certain dietary restrictions or things they like to avoid, so I added the ingredients and basic nutritional information below.  I did find a few differences between my packaging and that listed on the Newman site, something that you might want to take note of, especially if you have food allergies.<br /><br />Taste?  They were excellent, but I did find the outer cookie coating to be a bit drier than expected.  Fig Newtons are a bit moister, but these definitely an excellent choice considering the ingredients.  They aren't tops on my list, but were quite palatable.  One of my all-time favorite cookies are the peanut butter Newman-O's.  If you do want a wheat- and dairy-free fig cookie, you can't get much better than this one.<br /><br />INGREDIENTS:<br /><br />Organic Barley Flour, Organic Sugar, Corn Syrup, Organic Figs, Organic Brown Rice Flour, Organic Yellow Corn Flour, Organic Palm Fruit Oil, Water, Glycerine, Natural Flavors, Leavening (Sodium Bicarbonate, Monocalcium Phosphate), Vanilla, Xanthan Gum, Salt, Natural flavor, Soy Lecithin (an emulsifier).<br /><br />A couple of brief notes on the ingredients:  The contents listed on may package differed slightly than those on Newman's site and also in the order of the ingredients.  For example, mine lists vanilla as an ingredient, but they did not.<br /><br />***  There is a cautionary note on my packaging that states:  ""Manufactured on equipment that may process products containing peanuts, other nuts, and milk powder.""  ***<br /><br />NUTRITIONAL INFORMATION:<br /><br />Serving Size - 2 bars (38g)<br /><br />Calories per Serving 115<br /><br />Calories From Fat 15<br /><br /> Total Fat 1.5g<br />  Saturated fat  0g<br />  Trans Fat  0g<br /><br /> Cholesterol 0mg<br /><br /> Sodium 170mg<br /><br /> Total Carbs 26g<br /><br />Dietary Fiber 1g<br /><br />Sugars 12g<br />Protein 2g",What is one of my favorite Newman cookies?,peanut butter Newman-O's
WOW! Is there anyone actually buying this from this source anymore? The price is double what it used to be and locally I buy it for 4.29.,Is there anyone actually buying this from this source anymore?,WOW! Is there anyone actually buying this from this source anymore
"In this cereal, there are muligrain flakes, pecans, and the raisins and dates add sweetness naturally.  I like sweet cereals but don't like the sugar that comes with them.  There is still sugar added (brown and regular both), but there is less due to the dried fruits in the cereal.  Good taste, good texture and visually appealing -- what a great combination.<br /><br />It's very filling and often a bowl of this and a piece of fresh fruit are my choices for lunch during the week.",What is a great combination of sweet and sweet cereals?,"Good taste, good texture and visually appealing"
